branch	branch_descendants	Outgroup	BN_balchen	T_profundal	X07_Cpalaea_Biel_123408	BN_albeli	X047_Cbenthic_intermediate_Lucerne_28557	C_lp	X0109_Cpelagic_intermediate_Lucerne_28719	X0129_Calpinus_Thun_123148	BT_balchen	ZW_balchen	X099_Czuerichensis_Zurich_175403	ZW_felchen	ZW_albeli	T_lp	X023_Cfatioi_Thun_123693	B_felchen	X022_Cfatioi_Thun_123690	X068_Calpnacherfelchen_Lucerne_26020	BT_albeli	X021_Cfatioi_Thun_123669	X0132_Cmacrophthalmus_Constance_123471	X0123470_Cmacrophthalmus_Constance_123470	X066_Calpnacherfelchen_Lucerne_26003	X070_Calpnacherfelchen_Lucerne_26004	X0108_Cpelagic_intermediate_Lucerne_28716	X0107_Cpelagic_intermediate_Lucerne_28599	X0128_Carenicolus_Constance_123475	X0123458_Cmacrophthalmus_Constance_123458	X0127_Carenicolus_Constance_123463	X0126_Carenicolus_Constance_123462	X050_Cbenthic_intermediate_Lucerne_28648	L_balchen	X048_Cpelagic_intermediate_Lucerne_28559	L_profundal	L_albeli
b2	T_profundal,0129_Calpinus_Thun_123148,BT_balchen,B_felchen,022_Cfatioi_Thun_123690,023_Cfatioi_Thun_123693,BT_albeli,021_Cfatioi_Thun_123669,047_Cbenthic_intermediate_Lucerne_28557,ZW_balchen,099_Czuerichensis_Zurich_175403,ZW_felchen,ZW_albeli,C_lp,T_lp,0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470,0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462,0109_Cpelagic_intermediate_Lucerne_28719,068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen,070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	BN_balchen,07_Cpalaea_Biel_123408,BN_albeli	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b17	0109_Cpelagic_intermediate_Lucerne_28719,068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen,070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	0	0	0	0	0	nan	nan	0	0	0	0	0	0	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b18	B_felchen,022_Cfatioi_Thun_123690,023_Cfatioi_Thun_123693,BT_albeli,021_Cfatioi_Thun_123669	nan	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0.99
b19	0129_Calpinus_Thun_123148,BT_balchen	nan	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0.99	nan	nan	nan	0	nan	nan	0.99	0	0	0	0	0	0.99	0.99	0.99	0.99	0	0	0	0	0
b20	ZW_balchen,099_Czuerichensis_Zurich_175403	nan	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b21	ZW_felchen,ZW_albeli	nan	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0.99	0.99	0.99	0	0.99	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0.99	0.99
b22	T_lp,0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470,0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462	nan	0	0	0	0	0	nan	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0
b23	C_lp	nan	0	0	0	0	0	nan	0.99	0	0	0	0	0	0	nan	0	0.99	0.99	0	0	0.99	nan	nan	0	0	0.99	0.99	nan	nan	nan	nan	0	0	0.99	0	0.99
b24	0109_Cpelagic_intermediate_Lucerne_28719	nan	0	0	0	0	0	0.99	nan	0	0	0	0	0	0	0	0	0	0	nan	0	0	0.99	0.99	nan	nan	nan	nan	0	0.99	0	0	nan	nan	nan	nan	nan
b25	068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen,070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	0	0	0	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	nan	nan	nan	nan	0	0	0	0	nan	nan	nan	nan	nan
b26	023_Cfatioi_Thun_123693,BT_albeli,021_Cfatioi_Thun_123669	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b27	B_felchen,022_Cfatioi_Thun_123690	nan	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b28	0129_Calpinus_Thun_123148	nan	0	0	0	0	0	0.99	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0.99	0.99	0	0	0	0	0.99	0.99	0.99	0.99	0	0	0	0	0
b29	BT_balchen	nan	0	0.99	0.99	0	0	0	0	nan	nan	0	0	0	0	0	0.99	0.99	0.99	0	0.99	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0
b30	ZW_balchen	nan	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b31	099_Czuerichensis_Zurich_175403	nan	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b32	ZW_felchen	nan	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b33	ZW_albeli	nan	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b34	0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470,0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0
b35	T_lp	nan	0	0.99	0	0	0	0	0	0.99	0.99	0	0	0	0	nan	0.99	0.99	0.99	0	0.99	0.99	nan	nan	0	0	0	0	nan	nan	nan	nan	0	0	0	0.99	0.99
b36	068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	nan	nan	nan	nan	0	0	0	0	nan	nan	nan	nan	nan
b37	070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	nan	nan	nan	nan	0	0	0	0	nan	nan	nan	nan	nan
b38	023_Cfatioi_Thun_123693	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0.99	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b39	BT_albeli,021_Cfatioi_Thun_123669	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b40	B_felchen	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b41	022_Cfatioi_Thun_123690	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b42	0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470	nan	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0
b43	0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0
b44	068_Calpnacherfelchen_Lucerne_26020	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	nan	0	0	0	0	0	0	0	nan	nan	0	0	0
b45	066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	nan	0	0	0	0	0	0	0	nan	nan	0	0	0
b46	070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	0	0	0	0	0	0	nan	nan	nan
b47	0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	0	0	0	0	0	0	nan	nan	nan
b48	BT_albeli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b49	021_Cfatioi_Thun_123669	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b50	0132_Cmacrophthalmus_Constance_123471	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0
b51	0123470_Cmacrophthalmus_Constance_123470	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0
b52	0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0
b53	0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0
b54	066_Calpnacherfelchen_Lucerne_26003	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	0	nan	nan	0	0	0
b55	050_Cbenthic_intermediate_Lucerne_28648,L_balchen	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0.99	0	0	0	0	0	nan	nan	0.99	0	0
b56	070_Calpnacherfelchen_Lucerne_26004	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0
b57	0108_Cpelagic_intermediate_Lucerne_28716	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0
b58	0107_Cpelagic_intermediate_Lucerne_28599	nan	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0.99	0.99	0	0	0	0.99	nan	nan	nan
b59	048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	nan	nan	nan
b60	0128_Carenicolus_Constance_123475	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0
b61	0123458_Cmacrophthalmus_Constance_123458	nan	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0.99	0	0	0.99	0	nan	nan	0	0	0	0	0	0	0
b62	0127_Carenicolus_Constance_123463	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0
b63	0126_Carenicolus_Constance_123462	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0
b64	050_Cbenthic_intermediate_Lucerne_28648	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0
b65	L_balchen	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0
b66	048_Cpelagic_intermediate_Lucerne_28559	nan	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0.99	0	0	0	0	0.99	0.99	0.99	0.99	0.99	0.99	nan	nan	nan
b67	L_profundal,L_albeli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0.99	0.99	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan
b68	L_profundal	nan	0.99	0.99	0	0	0	0	0	0.99	0.99	0	0	0	0	0	0.99	0.99	0.99	0	0.99	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan
b69	L_albeli	nan	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0.99	0.99	0.99	0	0	0	0	0.99	0.99	0.99	nan	nan
